t_star,V_star,time,volume,mass,mass_star
468.75,0.004253452116631192,50.0,2.6673398223394207,0.13880018514397383,0.0024620312039684384
937.5,0.017311913679003105,100.0,10.856301068102848,0.27725691684101106,0.004917970246729806
1406.25,0.1994513497351046,150.0,125.0759414188841,0.415630388180399,0.007372432421154336
1875.0,0.336478493408228,200.0,211.00566321629978,0.5538913518605478,0.00982489893997189
2343.75,0.41835277641850427,250.0,262.349026092044,0.6920128062121271,0.0122748908488325
2812.5,0.48641176592980667,300.0,305.0288184145818,0.8299700186630792,0.014721969442527688
3281.25,0.5267173634044933,350.0,330.3044585909577,0.9345816976490466,0.016577566520412156
3750.0,0.5202643771681416,400.0,326.25779092214157,0.9346364990466718,0.01657853858504474
4218.75,0.51736498415888,450.0,324.43958156603367,0.9346779052295432,0.016579273045983396
4687.5,0.5154162559770947,500.0,323.21753412323613,0.9347154710979719,0.01657993938760376
5156.25,0.5135829972830844,550.0,322.0678975962222,0.9347342381583575,0.01658027227684471
5625.0,0.512604265105764,600.0,321.45413464782456,0.934746197838693,0.016580484417096142
6093.75,0.5120264185484805,650.0,321.09176707175214,0.9347580248449475,0.016580694203980922
6562.5,0.5116263434496883,700.0,320.84087997729955,0.9347686335464429,0.016580882380632763
7031.25,0.5115305898640443,750.0,320.7808329037422,0.934770614529875,0.016580917519224393
7500.0,0.5115558558452347,800.0,320.79667720054664,0.9347832473805058,0.0165811416001391
7968.75,0.5116615973447515,850.0,320.86298769489366,0.9347823300610658,0.016581125328769698
8437.5,0.5117408887537187,900.0,320.91271133745704,0.9347861283072519,0.01658119270188322
8906.25,0.5119080299474286,950.0,321.01752558003244,0.9347921126107764,0.01658129885117975
9375.0,0.512008138836837,1000.0,321.0803038645805,0.9347924174818814,0.016581304258969178
9843.75,0.512175957918728,1050.0,321.1855432108344,0.934707293572844,0.01657979433504482
10312.5,0.5122951054054689,1100.0,321.26026059976954,0.9345672045951523,0.016577309443298813
10781.25,0.512440226508482,1150.0,321.3512660434691,0.9345189480951445,0.016576453471754606
11250.0,0.5126348193495441,1200.0,321.47329521409915,0.9344139463613935,0.016574590955903513
11718.75,0.5127904057797863,1250.0,321.570863464504,0.9342709849029235,0.016572055112227563
12187.5,0.5127816278764222,1300.0,321.5653588413044,0.934114395948537,0.016569277544665265
12656.25,0.5129892868836525,1350.0,321.69558180473854,0.9339410583652218,0.016566202890704974
13125.0,0.5129805177397548,1400.0,321.69008267460026,0.933760948081744,0.01656300810290539
13593.75,0.5130970235098601,1450.0,321.76314344303324,0.9335729694547196,0.01655967374679532
14062.5,0.5133012241775357,1500.0,321.8911976817326,0.9333965327896062,0.016556544121466777
14531.25,0.5133642434539113,1550.0,321.9307170699478,0.9332566644557126,0.016554063143490158
15000.0,0.5135344896050925,1600.0,322.0374784313535,0.9330940992327303,0.01655117956915452
15468.75,0.5136394090752484,1650.0,322.10327343108827,0.9329210046199021,0.016548109224993383
15937.5,0.5137165639905306,1700.0,322.15165727846176,0.9327413820129437,0.01654492308757713
16406.25,0.5137722558420923,1750.0,322.1865816385761,0.932558781398085,0.016541684126395777
16875.0,0.5139074658517709,1800.0,322.27137183564554,0.9323721822377584,0.016538374239201594
17343.75,0.5140019514513389,1850.0,322.33062375513464,0.9321834894663473,0.01653502721563174
17812.5,0.5141395145969042,1900.0,322.41688960371863,0.9319915774750669,0.016531623089690133
18281.25,0.5141800360146661,1950.0,322.4423005847971,0.9317932761071327,0.01652810562928374
18750.0,0.5142134526460709,2000.0,322.46325615435103,0.9315907639661809,0.01652451347838215
19218.75,0.514174333223431,2050.0,322.4387243644136,0.9313898277101745,0.016520949280454153
19687.5,0.5141888744172358,2100.0,322.4478431470486,0.9311970659672564,0.01651753008165767
20156.25,0.5141643160970457,2150.0,322.4324426244574,0.9310055428601256,0.016514132853724956
20625.0,0.5143296332685194,2200.0,322.53611302268854,0.9308117853860378,0.016510695992695473
21093.75,0.5144619160437308,2250.0,322.6190675510236,0.9306129626802638,0.01650716928482282
21562.5,0.5144418261003046,2300.0,322.60646914750106,0.9304164339411725,0.016503683267224085
22031.25,0.5144141502289596,2350.0,322.5891136085806,0.9302158464301571,0.01650012525531845
22500.0,0.5144165612316456,2400.0,322.590625548365,0.9300207108864594,0.016496663950154568
22968.75,0.5144285393950981,2450.0,322.59813705466604,0.9298239360185074,0.016493173566733594
23437.5,0.514384499385433,2500.0,322.57051956460504,0.929631743458863,0.01648976446408345
23906.25,0.5143483144554012,2550.0,322.5478279949821,0.9294357368680894,0.016486287708327198
24375.0,0.51442189708163,2600.0,322.5939716598902,0.9292349754761285,0.016482726612129472
24843.75,0.514435461006034,2650.0,322.60247759688394,0.9290436683780179,0.01647933321575467
25312.5,0.5144459168888902,2700.0,322.60903448102306,0.928996482310728,0.016478496231496043
25781.25,0.5145091244110298,2750.0,322.6486719181568,0.9288671101322752,0.0164762014338346
26250.0,0.5144484206043872,2800.0,322.61060456101126,0.9287172350581848,0.01647354295676755
26718.75,0.5144100779365156,2850.0,322.58655987398896,0.9285473787374406,0.01647053005328021
27187.5,0.5143122779362637,2900.0,322.5252294938309,0.9283690728869122,0.016467367272428042
27656.25,0.514296333660977,2950.0,322.51523083879874,0.9282323755646715,0.016464942541708077
28125.0,0.5142106474143038,3000.0,322.4614969935099,0.9280806842644124,0.016462251848506037
28593.75,0.514088926034686,3050.0,322.3851655163516,0.9279138852537212,0.016459293175441685
29062.5,0.5138575929877159,3100.0,322.24009656259665,0.927734755042009,0.01645611577210932
