t_star,0,t0,1,t1,2,t2,3,t3,dev0,dev1,dev2,dev3
200,0.0003773647535968421,15.157894736842104,0.0009204505667133333,10.666666666666666,4.469483040533333e-05,21.333333333333332,1.1316289111599991e-18,47.99999999999999,0.0,1.3577145327912281,0.8316748079787719,0.9434118839921023
300,0.0002984705127736842,22.736842105263158,0.00068147921242,16.0,4.0996953944e-05,32.0,7.3462085608e-17,72.0,0.0,0.9575217491157896,0.6436838970742105,0.7461762819340269
400,0.0002370127522368421,30.31578947368421,0.0004782438595,21.333333333333332,3.698089170133333e-05,42.666666666666664,7.901374228399993e-16,95.99999999999999,0.0,0.6030777681578946,0.500079651338772,0.59253188059013
500,0.00021371748192105264,37.89473684210526,0.0003822165107,26.666666666666668,4.3637520556666677e-05,53.333333333333336,2.9899388629999964e-14,119.99999999999999,0.0,0.42124757194736834,0.42519990341096486,0.5342937047278831
600,0.00034506867623684205,45.473684210526315,0.0013381860579600002,32.0,0.000205006585658,64.0,1.616209438758e-07,144.0,0.0,2.4827934543078958,0.3501552264471051,0.8622676382324156
700,0.0004758258737726316,53.05263157894737,0.004047483765320001,37.333333333333336,0.0003419869146133332,74.66666666666667,1.9071509634000043e-07,167.99999999999997,0.0,8.929144728868424,0.33459739789824594,1.189087896690729
800,0.0005013968945536843,60.63157894736842,0.004218322694146668,42.666666666666664,0.00019198808864000005,85.33333333333333,9.003344408199998e-08,191.99999999999997,0.0,9.29231449898246,0.7735220147842105,1.2532671527740056
900,0.00034973794199789465,68.21052631578948,0.0018507028444400002,48.0,0.00013506279952,96.0,9.024522118600002e-08,215.99999999999997,0.0,3.7524122561052633,0.5366878561947366,0.8741192419417716
1000,0.00030504737919473683,75.78947368421052,0.0008739597535333333,53.333333333333336,0.00012213289679999999,106.66666666666667,9.300803064999997e-08,239.99999999999997,0.0,1.4222809358464912,0.45728620598684216,0.7623859279102171
1100,0.0003269917083821052,83.36842105263158,0.0007317427179066667,58.666666666666664,0.00013831938490666665,117.33333333333333,2.8195033487999936e-07,263.99999999999994,0.0,1.0118775238114037,0.4716808086885963,0.816774395118063
1200,0.0003898260718136842,90.94736842105263,0.0007564263028800001,64.0,0.0001711695208,128.0,5.8479870226e-07,288.0,0.0,0.9165005776657896,0.5466413775342105,0.9731031827785606
1300,0.0004451362423231579,98.52631578947368,0.0008367434280533333,69.33333333333333,0.00019852739201999998,138.66666666666666,1.5519008763999943e-06,311.99999999999994,0.0,0.9790179643254383,0.6165221257578947,1.108960853616895
1400,0.000535793162043158,106.10526315789474,0.0009467607989066668,74.66666666666667,0.0002493090426733334,149.33333333333334,5.05885186639999e-06,335.99999999999994,0.0,1.027419092158772,0.7162102984245614,1.3268357754418951
1500,0.000644455505563158,113.6842105263158,0.001061021062,80.0,0.0002964857017,160.0,1.118481343999998e-05,359.99999999999994,0.0,1.0414138910921051,0.8699245096578949,1.5831767303078952
1600,0.0007933474068431577,121.26315789473684,0.0016561911691999995,85.33333333333333,0.0003608751861866665,170.66666666666666,3.236475267599993e-05,383.99999999999994,0.0,2.1571094058921045,1.081180551641228,1.9024566354178947
1700,0.0010933131477021052,128.8421052631579,0.002248024390666667,90.66666666666667,0.0005500175203200002,181.33333333333334,7.652384143399985e-05,407.99999999999994,0.0,2.8867781074114043,1.3582390684552625,2.541973265670263
1800,0.0012497005743578949,136.42105263157896,0.002816499412,96.0,0.0007397954432400001,192.0,0.0001845588485999997,431.99999999999994,0.0,3.916997094105263,1.2747628277947372,2.6628543143947376
1900,0.0013636073531999998,144.0,0.0032198640530666667,101.33333333333333,0.000854998093,202.66666666666666,0.0002722347552199998,455.99999999999994,0.0,4.640641749666667,1.2715231504999995,2.7284314949499997
2000,0.0014750101351578943,151.57894736842104,0.0031278975533333333,106.66666666666667,0.0009602585957333335,213.33333333333334,0.0003653719523999997,479.99999999999994,0.0,4.132218545438597,1.286878848561402,2.7740954568947362
2100,0.0016333019487157895,159.1578947368421,0.003261253347,112.0,0.0011782226184,224.0,0.0004730538754599998,503.99999999999994,0.0,4.069878495710526,1.1376983257894735,2.9006201831394742
2200,0.001739096462736842,166.73684210526315,0.003770146296333333,117.33333333333333,0.0013613568182666666,234.66666666666666,0.0005726932140599995,527.9999999999999,0.0,5.077624583991228,0.9443491111754384,2.9160081216921063
2300,0.0017774574509157894,174.31578947368422,0.004158110309666667,122.66666666666667,0.0013551865041333331,245.33333333333334,0.00062849641662,552.0,0.0,5.951632146877193,1.0556773669561406,2.872402585739473
2400,0.0018131659397789472,181.89473684210526,0.004425145387,128.0,0.0013600547264,256.0,0.00068758672224,576.0,0.0,6.529948618052632,1.1327780334473683,2.813948043847368
2500,0.0019789909988947372,189.47368421052633,0.004966721226000001,133.33333333333334,0.0015258079220000006,266.6666666666667,0.0008105841668,600.0,0.0,7.469325567763159,1.1329576922368416,2.921017080236843
2600,0.0024059855335473684,197.05263157894737,0.005673021521999998,138.66666666666666,0.0018714296917333325,277.3333333333333,0.000983189045659999,623.9999999999999,0.0,8.167589971131575,1.3363896045350898,3.5569912197184235
2700,0.002784245404578947,204.6315789473684,0.0065995634768,144.0,0.0021698870928,288.0,0.0011513880701999996,647.9999999999999,0.0,9.538295180552632,1.5358957794473675,4.082143335947368
2800,0.003127097779894737,212.21052631578948,0.007599519317866668,149.33333333333334,0.002493832205133334,298.6666666666667,0.0013265461895999987,671.9999999999999,0.0,11.181053844929826,1.5831639369035075,4.501378975736846
2900,0.003489399040105263,219.78947368421052,0.008267196191866666,154.66666666666666,0.002860420604599999,309.3333333333333,0.0015972775719999986,695.9999999999999,0.0,11.944492879403505,1.5724460887631595,4.730303670263162
3000,0.003996323162210527,227.3684210526316,0.008887404642,160.0,0.003425953179,320.0,0.0019539486159999985,719.9999999999999,0.0,12.227703699473683,1.4259249580263167,5.10593636552632
3100,0.004459053221505263,234.94736842105263,0.009941437030266669,165.33333333333334,0.003931718828000001,330.6666666666667,0.002272229763999999,743.9999999999999,0.0,13.705959521903512,1.3183359837631554,5.467058643763161
