h_star,0,h0,1,h1,2,h2,3,h3,dev0,dev1,dev2,dev3
0.95,0.0009968676347503248,2.5919999999999996,0.0019953320930597997,1.2959999999999998,0.0007474057705399771,5.183999999999999,0.0003437968061355547,25.919999999999995,0.0,2.496161145773687,0.6236546605258692,1.632677071536925
0.9,0.0022329223187649728,2.448,0.0067537742466080835,1.224,0.001105532920768666,4.896,0.001200453428665999,24.479999999999997,0.0,11.302129819607778,2.818473494990767,2.5811722252474345
0.85,0.0012622165942064562,2.304,0.002695306447861946,1.152,0.0008530194770662491,4.608,0.0005585494982422166,23.039999999999996,0.0,3.5827246341387244,1.0229927928505178,1.7591677399105992
0.8,0.0015818302227946232,2.1599999999999997,0.0036161558911402512,1.0799999999999998,0.001277582506158437,4.319999999999999,0.0008443687753006668,21.599999999999994,0.0,5.08581417086407,0.7606192915904656,1.843653618734891
0.75,0.002221801446587338,2.016,0.004988418871169792,1.008,0.0018839260348074698,4.032,0.0013516756899388679,20.159999999999997,0.0,6.916543561456136,0.8446885294496708,2.1753143916211757
0.7,0.0031453502168343225,1.8719999999999999,0.008580764638824255,0.9359999999999999,0.0031273974865649416,3.7439999999999998,0.0020707450221771747,18.72,0.0,13.588536054974831,0.044881825673452225,2.686512986642869
0.65,0.005590153099101625,1.7279999999999998,0.013164390571940139,0.8639999999999999,0.005787681927060105,3.4559999999999995,0.003293890183939073,17.279999999999998,0.0,18.935593682096286,0.4938220698962005,5.740657287906379
0.6,0.009254039880757726,1.5839999999999999,0.02423172872889248,0.7919999999999999,0.01176386054440114,3.1679999999999997,0.005720778702893463,15.839999999999996,0.0,37.44422212033688,6.274551659108535,8.833152944660656
0.55,0.016813442919691782,1.4399999999999997,0.04369992194494472,0.7199999999999999,0.030942434917260064,2.8799999999999994,0.012059114589783777,14.399999999999997,0.0,67.21619756313235,35.3224799939207,11.885820824770015
0.5,0.04369537981579748,1.2959999999999998,0.0442264116692607,0.6479999999999999,0.043817212100724756,2.5919999999999996,0.03647628357658757,12.959999999999997,0.0,1.3275796336580623,0.3045807123181962,18.047740598024774
0.44999999999999996,0.04866683516612724,1.1519999999999997,0.04852217699609315,0.5759999999999998,0.04360387597651201,2.3039999999999994,0.050232649183163586,11.519999999999996,0.0,0.3616454250852247,12.657397974038078,3.9145350425908583
0.4,0.054236697996445406,1.0079999999999998,0.054420975285219164,0.5039999999999999,0.05824874812855165,2.0159999999999996,0.056923801309669515,10.079999999999998,0.0,0.4606932219343961,10.030125330265614,6.717758283060274
0.35,0.06197838958677845,0.8639999999999999,0.05884138742021293,0.43199999999999994,0.06418845245818597,1.7279999999999998,0.06776743245009464,8.639999999999997,0.0,7.842505416413795,5.525157178518803,14.472607158290494
0.30000000000000004,0.06760840085525437,0.7199999999999998,0.060088851173780974,0.3599999999999999,0.06537549833111844,1.4399999999999995,0.0719880049695553,7.199999999999999,0.0,18.79887420368348,5.58225631033981,10.949010285752347
0.25,0.06907555780660754,0.5759999999999996,0.0603851163800515,0.2879999999999998,0.06525302680869614,1.1519999999999992,0.07245424374260491,5.759999999999998,0.0,21.7261035663901,9.556327494778492,8.446714839993422
0.19999999999999996,0.06890476523416779,0.43199999999999994,0.0609882065197158,0.21599999999999997,0.06502889117148851,0.8639999999999999,0.07175626806365626,4.319999999999997,0.0,19.79139678612997,9.6896851566982,7.128757073721174
0.15000000000000002,0.06879633476648313,0.2879999999999998,0.06365193762849286,0.1439999999999999,0.0687915911636432,0.5759999999999996,0.07636350359175065,2.879999999999999,0.0,12.860992844975666,0.01185900709983062,18.9179220631688
0.09999999999999998,0.07687454737003047,0.14399999999999968,0.06874533332035067,0.07199999999999984,0.06657762258153282,0.28799999999999937,0.07705514779394852,1.4399999999999977,0.0,20.323035124199492,25.742311971244103,0.45150105979514105
0.050000000000000044,0.07818370645370032,0.0,0.0677291094616388,0.0,0.07284239416361,0.0,0.07698878020078506,0.0,0.0,26.136492480153784,13.353280725225783,2.987315632288143
